DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000086443,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000091138,P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000086443,P_AGGREGATED_SOUTH ATLANTIC_HEALTHCARE CORPORATE OFFICE,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000002638,P_AGGREGATED_WEST NORTH CENTRAL_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032851,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032914,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032917,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000036928,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000036943,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,CLINIC,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000036961,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,CLINIC,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000051109,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000056647,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 2: 51-100,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000056692,P_AGGREGATED_WEST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 3: 101-200,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000000472,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000001378,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000002638,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000023170,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032887,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032914,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032917,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000032932,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000036877,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000036904,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000037207,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000041698,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000051106,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000051424,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000051427,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000078346,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000078643,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000078709,P_AGGREGATED_WEST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000002638,P_AGGREGATED_WEST NORTH CENTRAL_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 5: 401-600,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000005257,P_AGGREGATED_WEST SOUTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000006823,P_AGGREGATED_WEST SOUTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000084658,P_AGGREGATED_WEST SOUTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 3: 101-200,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000085099,P_AGGREGATED_WEST SOUTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000085069,P_AGGREGATED_WEST SOUTH CENTRAL_AMBULATORY CARE CENTER,NON HOSPITAL,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000003928,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000009574,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000010618,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000013918,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000014128,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000014131,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000014161,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000014182,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000078754,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000078757,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000079087,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000079102,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000080959,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000098944,P_AGGREGATED_WEST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000014185,P_AGGREGATED_WEST SOUTH CENTRAL_OTHER HOSPITAL,HOSPITAL,OTHER HOSPITAL,CATEGORY 2: 51-100,AGGREGATED
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043462,P_AGGREGATED_WEST SOUTH CENTRAL_SURGERY CENTER,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
